fault_type,brand,age,problem
On/Off button,Samsung,unknown_age,Mobile - Power button? -
Screen,Apple,unknown_age,Mobile - Screen issue -
Other,Samsung,unknown_age,"Got wet, won't switch on. Photos saved, half fixed."
Speaker/amplifier,Samsung,unknown_age,Can't hear calls. Can't be fixed.
Screen,Apple,unknown_age,screen broken
Screen,Apple,unknown_age,back and front screen
Screen,Apple,unknown_age,screen broken
Screen,Apple,unknown_age,broken screen
Screen,Apple,unknown_age,Mobile - Screen issue -
Headphone jack,Apple,unknown_age,Mobile - Earphone jack -
Microphone,Apple,unknown_age,Mobile - Mic problem -
Power/battery,Samsung,unknown_age,"Doesn't charge, doesn't switch on. Needs new battery."
Screen,Apple,unknown_age,Speaker crackly and broken screen.
Charger,Apple,unknown_age,"Charger, loose connection."
Unknown,Apple,unknown_age,Dropped - no sign of life. (Was actually ok)
Power/battery,Samsung,unknown_age,Keeps cutting out. Didn't need SD card.
Unknown,Apple,unknown_age,Locked
Speaker/amplifier,Apple,unknown_age,Speaker not working - referred to Lovefone
Screen,Apple,unknown_age,Spare screen purchased by the person before they came but it wasn't the right one for this phone. Advised them to come back to another party.
Screen,Apple,unknown_age,Person came to party with cracked screen. Restarter told them they needed to buy a screen. They went away and got one and after some time trying to fit it the Restarter said it was the wrong screen.
Screen,Samsung,unknown_age,Screen cracked
Screen,Apple,unknown_age,"Failed screen replacement, not clear why. Referred to Lovefone"
Power/battery,Apple,unknown_age,Needs new battery
Software update,Apple,unknown_age,Needs software update.
Screen,Samsung,unknown_age,screen to find on the internet
Other,Samsung,unknown_age,Motherboard? - Dead mobile
Unknown,Apple,unknown_age,Needed back-up before repair
On/Off button,Apple,unknown_age,defective power button. elegible for Apple recall
Software update,Samsung,unknown_age,shuts down. reset to factory settings
Camera,Apple,unknown_age,"dust in the camera. advised to ask Apple to do it free of charge, as not due to usage"
Power/battery,Apple,unknown_age,battery problems. helped her understand that her constant use of Spotify and bluetooth is the main problem
Camera,Samsung,unknown_age,"camera doesn't focus consistently. it's 6 month old from Argos, explained warranty repair"
USB/charging port,Samsung,unknown_age,Bad micro USB port
Unknown,Apple,unknown_age,Advised on purchasing part
Camera,Apple,unknown_age,Crack in the camera
Help/configuration,Samsung,unknown_age,it was in Spanish
Screen,Apple,unknown_age,Screen repair
Screen,Apple,unknown_age,Screen repair
Screen,Apple,unknown_age,Screen repair
Screen,Apple,unknown_age,Screen repair
Screen,Apple,unknown_age,Screen repair
Screen,Apple,unknown_age,Screen repair
Screen,Apple,unknown_age,Screen repair
Screen,Apple,unknown_age,Screen repair
Screen,Apple,unknown_age,Screen repair
USB/charging port,Samsung,unknown_age,"Micro USB damaged, needed replacing. DIY"
Software update,Apple,unknown_age,Incomplete update. Owner wanted to backup before reset.
Screen,Samsung,unknown_age,Broken screen
Microphone,Samsung,unknown_age,Mic not working.
Power/battery,Apple,unknown_age,Battery replacement
Sim card slot,Apple,unknown_age,"Sim reader faulty, tried to resolder it."
USB/charging port,Apple,unknown_age,"Not charging, battery replaced"
Screen,Apple,unknown_age,Screen repair
Screen,Apple,unknown_age,Screen repair
Screen,Apple,unknown_age,Screen repair
Screen,Apple,unknown_age,Screen repair
Screen,Apple,unknown_age,Screen repair
Screen,Apple,unknown_age,Screen repair
Screen,Apple,unknown_age,Screen repair
Screen,Apple,unknown_age,Screen repair
Screen,Apple,unknown_age,Screen repair
Screen,Apple,unknown_age,Screen replacement - full LCD assembly
Screen,Apple,unknown_age,Screen repair
Screen,Apple,unknown_age,Screen repair
Screen,Apple,unknown_age,Screen repair
Screen,Apple,unknown_age,cracked screen
Screen,Samsung,unknown_age,"cracked glass, screen otherwise ok. helped with sourcing spare part"
Camera,Apple,unknown_age,camera dirty
Screen,Samsung,unknown_age,screen goes black - impossible to replicate the issue
Speaker/amplifier,Apple,unknown_age,"speaker doesn't work. changed speaker cable, all sorted"
Software update,Samsung,unknown_age,it blocks one specific contact. we suggested running a factory reset after backing up the phone
Screen,Apple,unknown_age,cracked screen
Power/battery,Samsung,unknown_age,doesn't switch on
On/Off button,Apple,unknown_age,Iphone button on and off not working
Screen,Apple,unknown_age,Screen replaced
Other,Apple,unknown_age,Vibrator replaced
Screen,Apple,unknown_age,Screen replaced
Screen,Apple,unknown_age,Screen replaced
Screen,Apple,unknown_age,Screen replaced
Unknown,Samsung,unknown_age,Samsung
USB/charging port,Apple,unknown_age,Broken charging port
On/Off button,Apple,unknown_age,Power button not working
Screen,Apple,unknown_age,Cracked screen
On/Off button,Samsung,unknown_age,Power button does not work. Repair would require expensive spare part
Storage problem,Apple,unknown_age,Memory/storage problem
Screen,Samsung,unknown_age,Smashed screen
Power/battery,Samsung,unknown_age,Not getting power
Storage problem,Samsung,unknown_age,Storage problem
Screen,Apple,unknown_age,Cracked LCD but appears to need a new battery
Screen,Samsung,unknown_age,Faulty screen?
Power/battery,Samsung,unknown_age,The battery had been nicked!
Other,Samsung,unknown_age,Stuck in flight mode
Unknown,Samsung,unknown_age,Not working
Help/configuration,Apple,unknown_age,Needed help changing parts
Unknown,Samsung,unknown_age,"smart phone, keeps turning off, next time"
On/Off button,Apple,unknown_age,a on/off button not working
Software update,Samsung,unknown_age,Needs a TURP recovery install
Screen,Apple,unknown_age,Fuzzy screen
Other,Samsung,unknown_age,Flight mode and IMEI number missing - recommend to contact manufacturer
Power/battery,Apple,unknown_age,Battery problem?
Other buttons,Apple,unknown_age,Lock button
Screen,Samsung,unknown_age,"Screen broken, spare part deemed to expensive by owner"
Screen,Apple,unknown_age,Screen replacement
Screen,Apple,unknown_age,Screen replacement
Screen,Apple,unknown_age,Screen replacement
Screen,Apple,unknown_age,Screen replacement
Screen,Apple,unknown_age,Screen replacement
Screen,Apple,unknown_age,Screen replacement
Screen,Apple,unknown_age,Screen replacement
Screen,Apple,unknown_age,Screen replacement
Screen,Apple,unknown_age,Screen replacement
Screen,Apple,unknown_age,Screen replacement
Screen,Apple,unknown_age,Screen replacement
Screen,Apple,unknown_age,"Cracked screen, needs new one fitted. Not enough time, advice given"
Screen,Apple,unknown_age,"Cracked screen, needs new one fitted. Not enough time, advice given"
Help/configuration,Samsung,unknown_age,On flight mode constantly. Advice given.
Power/battery,Apple,unknown_age,"Not charging - needs a new battery, diagnosed"
Screen,Apple,unknown_age,Screen cracked - deemed beyond repair
Screen,Apple,unknown_age,Buttons and screen
Power/battery,Samsung,unknown_age,Not hold a charge - new battery needed
Power/battery,Samsung,unknown_age,Not turning on and not ringing
Unknown,Apple,unknown_age,Does not turn on
Unknown,Samsung,unknown_age,Doesn't charge
Performance,Samsung,unknown_age,Very slow. Fixed
Screen,Apple,unknown_age,cracked screen
Screen,Apple,unknown_age,cracked screen
Screen,Apple,unknown_age,cracked screen
Power/battery,Apple,unknown_age,"Battery replaced, after a poor battery replacement"
Screen,Apple,unknown_age,Glass replaced
Help/configuration,Samsung,unknown_age,Needs advice on connecting phone to PC. Got advice.
Software update,Samsung,unknown_age,Update - advice given
Screen,Apple,unknown_age,broken screen
Power/battery,Apple,unknown_age,Battery needs replacing - not applicable
Screen,Apple,unknown_age,Cracked screen
Screen,Apple,unknown_age,Cracked screen
Screen,Apple,unknown_age,Cracked screen
Screen,Apple,unknown_age,Cracked screen
Screen,Apple,unknown_age,Cracked screen
Screen,Apple,unknown_age,Cracked screen
Power/battery,Apple,unknown_age,Battery
Power/battery,Apple,unknown_age,Doesn't charge
Unknown,Apple,unknown_age,Bug
Power/battery,Apple,unknown_age,Switches off
Screen,Samsung,unknown_age,Problem with the touchscreen. There is documented solution to this involving disconnecting the LCD from the circuit board
Power/battery,Apple,unknown_age,dead battery
Microphone,Apple,unknown_age,Bad mic connection
Screen,Samsung,unknown_age,Change screen
Other buttons,Apple,unknown_age,Button does not work
Screen,Samsung,unknown_age,Broken screen
Speaker/amplifier,Apple,unknown_age,Sound does not work
Power/battery,Apple,unknown_age,Battery swap- screw stuck
Power/battery,Samsung,unknown_age,Doesn't switch on - dead battery
Unknown,Samsung,unknown_age,0.15kg
Unknown,Samsung,unknown_age,0.2kg
Storage problem,Samsung,unknown_age,Running slow - advice give
Software update,Apple,unknown_age,Running slow
Other,Samsung,unknown_age,"No power - further work needed. Recommend to sell for parts, water damage"
USB/charging port,Samsung,unknown_age,Screen goes black/blank (intermittent fault). USB cover fixed and advice given
Power/battery,Samsung,unknown_age,Slow and freezes. May need battery replaced.
Speaker/amplifier,Apple,unknown_age,Sound issues - new speaker needed
Screen,Apple,unknown_age,screen replacement
Screen,Apple,unknown_age,Cracked screen
Screen,Apple,unknown_age,Cracked screen
Screen,Apple,unknown_age,Cracked screen
Screen,Apple,unknown_age,Cracked screen
Power/battery,Apple,unknown_age,Battery
Unknown,Apple,unknown_age,Not turning on
Unknown,Samsung,unknown_age,0.2kg
Software issue,Apple,unknown_age,Crashing
Screen,Apple,unknown_age,Cracked screen
Power/battery,Apple,unknown_age,Battery
Power/battery,Samsung,unknown_age,Does not power on
Screen,Apple,unknown_age,Screen needs replacing
Power/battery,Apple,unknown_age,Battery needs changing.
Other buttons,Apple,unknown_age,Home button doesn't work.
Screen,Apple,unknown_age,Broken screen
Charger,Apple,unknown_age,iPhone charger
Screen,Apple,unknown_age,Cracked screen
Screen,Apple,unknown_age,Cracked screen
Screen,Apple,unknown_age,Cracked screen
Screen,Apple,unknown_age,Cracked screen
Screen,Apple,unknown_age,Cracked screen
Screen,Apple,unknown_age,Cracked screen
Power/battery,Apple,unknown_age,Battery
Screen,Apple,unknown_age,Cracked screen
Screen,Apple,unknown_age,iPhone - broken screen
Power/battery,Apple,unknown_age,iPhone - needed battery change (also needed spare battery)
Unknown,Apple,unknown_age,doesn't work ~ unknown
Screen,Apple,unknown_age,"Cracked screen - fixable, but needs spare parts"
Other buttons,Apple,unknown_age,Home button broken - cleaned but needs replacing
Other,Apple,unknown_age,water damage - advice on recovering photos
Screen,Samsung,unknown_age,No display - needs new screen
Storage problem,Samsung,unknown_age,Full - how to free space. Advice given
Help/configuration,Apple,1,unfamiliar with settings ~ age
Software update,Samsung,1,Software challenge
Screen,Samsung,2,Screen does not work
Other,Apple,unknown_age,Water damage
Other buttons,Apple,unknown_age,Button does not work
Sim card slot,Samsung,unknown_age,Not recognizing SIM
Screen,Samsung,unknown_age,Not working the lower part of the touch screen
Power/battery,Samsung,unknown_age,doesn't work ~ battery empty
Help/configuration,Apple,1,difficulty with settings ~ digitally ill
Screen,Apple,unknown_age,Screen too dark. Fixed (needs new parts).
Screen,Apple,unknown_age,Cracked screen
Screen,Apple,unknown_age,Cracked screen
Screen,Apple,unknown_age,Cracked screen
Screen,Apple,unknown_age,Cracked screen and home button
Screen,Apple,unknown_age,Cracked screen and blurry camera
Screen,Apple,unknown_age,Cracked screen
Screen,Apple,unknown_age,Cracked screen
Screen,Apple,unknown_age,"Cracked screen, damaged home button"
Other,Apple,unknown_age,"Asks for iTunes only. Advice given, hopefully DIY ready"
Screen,Apple,unknown_age,Broken screen
Screen,Apple,unknown_age,Broken screen
Screen,Apple,unknown_age,Broken screen & damaged home button
Screen,Apple,unknown_age,Broken screen
Screen,Apple,unknown_age,Broken screen
Screen,Apple,unknown_age,Broken screen
Screen,Apple,unknown_age,Broken screen
Screen,Apple,unknown_age,Screen Replacement
Screen,Apple,unknown_age,Screen Replacement
Screen,Apple,unknown_age,Screen Replacement
Screen,Apple,unknown_age,Screen Replacement
Screen,Apple,unknown_age,Screen Replacement (x2 - Needed to be replaced twice - faulty replacement unit?)
Other buttons,Apple,unknown_age,Home Button Replacement
Screen,Apple,unknown_age,Screen Replacement
Screen,Apple,unknown_age,Screen Replacement
Screen,Apple,unknown_age,Screen Replacement
Screen,Apple,unknown_age,Screen Replacement
Screen,Apple,unknown_age,Screen Replacement
Screen,Apple,unknown_age,Broken screen
Screen,Apple,unknown_age,Broken screen
Screen,Apple,unknown_age,Broken screen
Screen,Apple,unknown_age,Broken screen
Screen,Apple,unknown_age,Broken screen
Screen,Apple,unknown_age,Broken screen
Power/battery,Apple,unknown_age,Battery replacement
Screen,Apple,unknown_age,Broken screen
Screen,Apple,unknown_age,Broken screen
Screen,Apple,unknown_age,Broken screen
Screen,Apple,unknown_age,Broken screen
Screen,Apple,unknown_age,Broken screen
Screen,Apple,unknown_age,Broken screen
Screen,Apple,unknown_age,Broken screen
Screen,Apple,unknown_age,Broken screen
Screen,Apple,unknown_age,Screen Replacement
Screen,Apple,unknown_age,Screen Replacement (x2)
Screen,Apple,unknown_age,Screen Replacement
Other buttons,Apple,unknown_age,Home Button Replacement
Screen,Apple,unknown_age,Screen Replacement
USB/charging port,Apple,unknown_age,Charging Port Replacement
Screen,Apple,unknown_age,Screen Replacement
Screen,Apple,unknown_age,Screen Replacement
Screen,Apple,unknown_age,Screen Replacement
Screen,Apple,unknown_age,Screen Replacement
Speaker/amplifier,Apple,unknown_age,Does not give a sound
Screen,Apple,unknown_age,Change screen
Screen,Samsung,unknown_age,"Screen damage after drop. Tested by connecting to laptop, phone is ok just needs new screen"
Software update,Samsung,unknown_age,F-Droid installation & Clean Up device
Camera,Samsung,unknown_age,Mobile phone with massive zoom camera. Lots of dismantling & testing. Maybe get clone and swap parts?
Screen,Apple,1,Screen is black ~ No idea
Other,Apple,unknown_age,Inconsistent WiFi
Other,Apple,3,Dod had bitten on it
Power/battery,Samsung,unknown_age,battery? phone no longer turns on.
Screen,Apple,unknown_age,"Screen temperamental. Half fixed, will continue to work on it at home."
Screen,Samsung,unknown_age,Broken display
Other,Apple,unknown_age,changed flat cable
Screen,Apple,unknown_age,changed dispay
Screen,Apple,unknown_age,iPhone screen and motherboard. No fix - advice given (too costly to repair)
Screen,Apple,unknown_age,iPhone 5c - Screen Repaired
USB/charging port,Apple,unknown_age,iPhone 5 - Replaced Charging Port
Speaker/amplifier,Apple,unknown_age,iPhone 5SE - Speaker to be Replaced - No replacement parts available
Screen,Apple,unknown_age,iPhone 5 - Screen Replaced
USB/charging port,Apple,unknown_age,iPhone 5c - Charging Port Replaced
USB/charging port,Apple,unknown_age,iPhone 6 - Charging Port dirty/blocked - cleaned out
Liquid damage,Apple,unknown_age,Two defective devices were turned into one that worked. A white model had water damage and a silver model had a screen damage. The result was an iPhone with a silver casing and a white home button.
USB/charging port,Samsung,unknown_age,Loose charger connector.
Screen,Samsung,17,glass broken ~ falling
Unknown,Apple,unknown_age,The back falls off
Other,Apple,unknown_age,Humidity problem
Unknown,Apple,unknown_age,Humidity problem
Other,Apple,unknown_age,Humidity problem
Unknown,Apple,unknown_age,Humidity problem
Screen,Samsung,unknown_age,It had a display damage. The repair failed because the old display was removed. Maybe you should try again.
Screen,Samsung,unknown_age,"intermittent screen flicker, short battery life"
Power/battery,Samsung,unknown_age,Doesn't turn on
On/Off button,Apple,unknown_age,Power botton doesn't work
Screen,Apple,unknown_age,Broken screen. The owner had the spare part so we placed it.
Software issue,Samsung,unknown_age,Unable to install Airwatch ~ ??
On/Off button,Apple,unknown_age,On-off switch stuck. Not fixable.
Software update,Apple,unknown_age,OS issue (slow)
Power/battery,Apple,1,"Bad battery, please order a new battery. ~ Unknown"
Storage problem,Samsung,unknown_age,Unable to create memory space by deleting data.
Volume buttons,Apple,unknown_age,Silence button not working. Owner will come to a future event once part ordered.
Screen,Apple,unknown_age,"Broken screen, replaced with new LCD"
Screen,Apple,unknown_age,cracked screen
Screen,Apple,unknown_age,"Cracked screen, under warranty, sent to Apple store"
Screen,Apple,unknown_age,"Cracked screen, new LCD"
Screen,Apple,unknown_age,"Cracked screen, new LCD"
Other buttons,Apple,unknown_age,"Home button not working, vibration not working. Replaced both components"
Screen,Apple,unknown_age,"Cracked screen, new LCD"
Unknown,Apple,unknown_age,Student purchased new phone before repair could be completed
Unknown,Samsung,unknown_age,"Parts too expensive, referred to professional"
Screen,Apple,unknown_age,cracked screen
Screen,Apple,unknown_age,cracked screen
Unknown,Apple,unknown_age,Hardware problem
Power/battery,Samsung,unknown_age,loosing charge
Unknown,Apple,unknown_age,Not working
Power/battery,Samsung,unknown_age,No Power
Power/battery,Samsung,unknown_age,instable power
Help/configuration,Apple,4,Check settings ~ Unknown
Help/configuration,Apple,unknown_age,don't know how to update ~ lack of knowledge
Speaker/amplifier,Apple,unknown_age,Can't hear incoming voice
Power/battery,Samsung,2,Battery not charging ~ Loose battery
Software issue,Samsung,4,weather program did not work and date is incorrect ~ no internet connection
Internal damage,Samsung,1,motherboard is broken
Stuck booting,Samsung,unknown_age,Turns on but freezes
Screen,Apple,unknown_age,Broken screen.
Unknown,Apple,unknown_age,possibly repairable but beyond the capabilities of our team
On/Off button,Apple,unknown_age,"doesn't turn on, on off switch gone"
Power/battery,Samsung,unknown_age,doesn't switch on. Battery dead
Power/battery,Apple,unknown_age,dead battery
Screen,Apple,unknown_age,cracked LCD
Screen,Apple,unknown_age,cracked LCD
Screen,Apple,unknown_age,cracked LCD
Screen,Apple,unknown_age,cracked LCD
Power/battery,Apple,unknown_age,dead battery
Screen,Apple,unknown_age,cracked LCD
Screen,Apple,unknown_age,cracked LCD
Screen,Apple,unknown_age,Repair too challenging due to waterproof seal (didn't have adhesive remover to open phone). Referred to Apple
Other,Apple,unknown_age,Repair too challenging due to waterproof seal (didn't have adhesive remover to open phone). Referred to Apple
Help/configuration,Samsung,4,No sound on messages
Other,Apple,unknown_age,iPhone 6. Water damage
Other,Apple,unknown_age,password forgotten. Apple id needed. owner will contact apple to resolve.
Software update,Samsung,unknown_age,password forgotten. factory reset bit malicious apps preventing use.
Unknown,Apple,1,1 year old.
Unknown,Samsung,4,No result.
Screen,Apple,unknown_age,Replaced cracked LCD
Screen,Apple,unknown_age,Replaced cracked LCD
Screen,Apple,unknown_age,Replaced cracked LCD
Screen,Apple,unknown_age,Replaced cracked LCD
Screen,Apple,unknown_age,Replaced cracked LCD & home button
Screen,Apple,unknown_age,Replaced cracked LCD
Screen,Apple,unknown_age,Replaced cracked LCD
Screen,Apple,unknown_age,Replaced cracked LCD
Storage problem,Apple,unknown_age,couldn't retrieve photos
Camera,Apple,unknown_age,rear camera not working. re-connected
Power/battery,Apple,unknown_age,battery losing charge quickly. new battery needed
Other,Samsung,unknown_age,asked for setting optimization for security and performance.
Help/configuration,Apple,unknown_age,make a backup
Screen,Apple,unknown_age,Replaced cracked LCD
Screen,Apple,unknown_age,Replaced cracked LCD
Other,Apple,unknown_age,"Water damage throughout, repair not possible"
Screen,Apple,unknown_age,Replaced cracked LCD
Screen,Apple,unknown_age,"Referred to Apple store, screen too difficult to open without adhesive remover or heat gun"
Screen,Apple,unknown_age,Replaced cracked LCD
Unknown,Apple,unknown_age,"part not in stock, unable to repair. Sent student to Apple"
Screen,Apple,unknown_age,Replaced cracked LCD
Power/battery,Apple,8,The battery is old and drains quickly ~ Old battery
Unknown,Apple,unknown_age,defect ~ known
Power/battery,Apple,unknown_age,advice given - battery
Screen,Samsung,unknown_age,broken screen
Help/configuration,Apple,2,help with institutions
Screen,Apple,unknown_age,replaced cracked LCD
Screen,Apple,unknown_age,replaced cracked LCD
Screen,Apple,unknown_age,replaced cracked LCD
Screen,Apple,unknown_age,replaced cracked LCD
Screen,Apple,unknown_age,replaced cracked LCD
Screen,Apple,unknown_age,replaced cracked LCD
Screen,Apple,unknown_age,replaced cracked LCD and microphone
Screen,Apple,unknown_age,replaced cracked LCD
Unknown,Apple,unknown_age,Part too expensive & device under warranty. referred to Apple
Unknown,Apple,unknown_age,"intermittent volume issues, referred to apple. No identifiable hardware issue"
Screen,Apple,unknown_age,replaced cracked LCD
Screen,Apple,unknown_age,cracked LCD replaced
Other buttons,Apple,unknown_age,"The home button now only responds when pressed very hard. However, since the entire button assembly probably has to be replaced and special tools are required to open and disassemble it, we unfortunately had to pass considering the time had already passed. It is better to plan around two hours for such demanding repair work on such highly integrated and sensitive electronics. With a short message in advance, the right tool can also be organized in good time. The visitor now thinks about whether he should buy a spare part and come back with the phone to one of the next appointments."
Software update,samsung,unknown_age,not working; reset
Screen,Apple,unknown_age,screen and home button broken
Power/battery,Apple,8,battery drains quickly ~ old age
Power/battery,Apple,unknown_age,Battery replacement using iFixit battery replacement kit
USB/charging port,Apple,unknown_age,No charge.  Cleaned points.
Camera,Samsung,unknown_age,"The camera lens had cracked and had ruined numerous photos for the owner. She had already gotten a replacement. We helped her disassemble the phone according to instructions from the internet, remove the old lens and glue in the new one. This required a lot of patience and sensitivity, as the adhesive surface had to be slowly heated with a hairdryer to soften the adhesive and the lens then had to be carefully lifted off. You should always allow a little more time for such delicate repairs."
Unknown,Apple,unknown_age,"2017-10-31 Mark also had a go at Jan's iPhone problem, but no solution could be found"
Software update,Apple,unknown_age,Was freezing on app
Screen,Apple,unknown_age,Screen too dark
Help/configuration,Apple,unknown_age,Not recognising ID
Help/configuration,Samsung,4,Have data transferred from Microsoft to Samsung ~ Unknown
Software issue,Samsung,1,remains on home screen
USB/charging port,Samsung,4,Charging connection --> bent pin ~ Plug connected incorrectly
Screen,Apple,unknown_age,Flickering screen
Screen,Samsung,unknown_age,Order screen
Other,Apple,2,Water damage
Power/battery,Apple,unknown_age,Battery drains really fast
Headphone jack,Apple,unknown_age,Fire wire as a headphone connection not working
Software update,Apple,unknown_age,Crashes - fixed with software cleanup and making space
Screen,Samsung,unknown_age,Broken screen - to order spare parts
Other buttons,Apple,unknown_age,Menu button does not work - to order spare parts
Other,Apple,unknown_age,Water damage- got wet over one month ago no instantaneous drying process
Software update,Apple,unknown_age,Not functioning well - needed data cleanup and software updates
On/Off button,Samsung,unknown_age,Power button not working. Temporary fix.
Other,Samsung,unknown_age,broken keyboard connector
Screen,Apple,unknown_age,replaced LCD
Power/battery,Apple,unknown_age,replaced battery
Screen,Apple,unknown_age,"cracked LCD replaced, home button replaced, camera replaced"
Screen,Apple,unknown_age,cracked LCD replaced
Screen,Apple,unknown_age,cracked LCD replaced
Screen,Apple,unknown_age,"broken screen, but part was't available"
Screen,Apple,unknown_age,cracked LCD replaced
Screen,Apple,unknown_age,cracked LCD replaced
Screen,Apple,unknown_age,cracked LCD replaced
Screen,Apple,unknown_age,cracked LCD replaced
Screen,Apple,unknown_age,cracked LCD replaced
Software update,Apple,unknown_age,software issue resolved with reset
Screen,Apple,unknown_age,replaced cracked screen and fixed boot loop
Screen,Apple,unknown_age,cracked LCD replaced
Screen,Apple,unknown_age,cracked LCD replaced
Screen,Apple,unknown_age,replaced LCD
Screen,Apple,unknown_age,replaced LCD
Screen,Apple,unknown_age,replaced LCD
Screen,Apple,unknown_age,replaced LCD
Screen,Apple,unknown_age,replaced LCD
Screen,Apple,unknown_age,replaced LCD & home button
Screen,Apple,unknown_age,replaced LCD & home button
Power/battery,Apple,unknown_age,Doesn't work anymore
Help/configuration,Samsung,3,Scan ~ Setting
Power/battery,Apple,unknown_age,not loading
Screen,Samsung,4,"Broken screen, we opened the phone up and removed the screen.  Next time participants can come with the spare parts; new screen and put it in."
Screen,Apple,2,Broken screen - spare part available
Screen,Samsung,2,Broken screen
Screen,Samsung,2,Broken screen
Screen,Samsung,1,Broken screen
Screen,Samsung,1,Broken screen
Liquid damage,Apple,3,Network not responding ~ Fallen into water
Power/battery,Apple,unknown_age,Does not switch on.
Storage problem,Samsung,2,Overloaded
Power/battery,Samsung,unknown_age,Not turning on
Help/configuration,Apple,unknown_age,Won't download
Camera,Apple,unknown_age,"No light, photo issue"
Power/battery,Apple,unknown_age,"The display on the iPhone 3 had taken off. The reason for this was the built-in battery, which was quite bloated and needs to be replaced. Then the device will return to its original shape."
Power/battery,Samsung,unknown_age,"A battery from the phone also had to be disposed of properly. This no longer showed any tension and had already bloated significantly. For this reason, the phone did not show any function and did not charge the battery. But with a new replacement battery it should work again soon."
Microphone,Apple,unknown_age,replaced LCD & microphones
Screen,Apple,unknown_age,replaced LCD & microphones
Screen,Apple,unknown_age,replaced LCD & microphones
Help/configuration,Samsung,6,falls back into login mode
Screen,Samsung,unknown_age,"Had one of those daft curved-glass screens, smashed of course. The user did not bring any replacement parts, so was referred to a professional service."
Power/battery,Apple,1,Change battery
Other,Apple,1,Bent phone
Volume buttons,Apple,4,Sound button broken
Unknown,Samsung,1,Explanation ~ Unknown
Power/battery,Apple,6,does not turn on anymore ~ ​​possible battery problem
Screen,Apple,unknown_age,Cracked screen
Screen,Samsung,2,Broken screen
Power/battery,Apple,2,does not power on - battery
USB/charging port,Apple,2,"Not charging - the charging port was dirty, a clean fixed the problem."
USB/charging port,Apple,3,Needs new lightning USB port - sent to store
Screen,Samsung,1,Screen cracked. surge and advice (new samsung screen can be replaced easily).
Storage problem,Samsung,unknown_age,Fault by SD card
Power/battery,Apple,unknown_age,"A new battery has been installed, but the device no longer works. ~ Battery defective and replaced by the customer himself"
Power/battery,Apple,unknown_age,"After replacing the battery some time ago, the smartphone vehemently refused to charge the new battery. In any case, nothing happened when we plugged in the power supply and the charging indicator remained at its low level. All contacts, connectors and cables seemed to be OK, so we ultimately didn't know what to do next."
Liquid damage,Apple,8,water damage
Software update,Samsung,3,"Software issue causing updates from being installed.  Couldn't find permanent fix, recommended updating OS to Lineage"
Power/battery,Samsung,unknown_age,Charging takes ages
